fecha	archivo	algoritmo	nulos	tipo_umbral	num.trees	vmin.node.size	umbral_promedio	ganancia_promedio	tiempo_promedio	ganancias	umbrales				
20170313 002644	data/data.con.nuevas.variables.SI.NO.tsv	ranger	na.roughfix	umbral_fijo	50.00	600.00	0.03125	1956944.00	34.95472	1904167.00	1990000.00	1976667.00			
20170312 235651	data/data.con.nuevas.variables.SI.NO.tsv	ranger	na.roughfix	umbral_fijo	50.00	5000.00	0.03125	1942500.00	29.07808	1835000.00	2079167.00	1913333.00			
20170312 235933	data/data.con.nuevas.variables.SI.NO.tsv	ranger	na.roughfix	umbral_estimado	50.00	5000.00	0.02966667	1921111.00	28.15855	1696667.00	2160833.00	1905833.00	29.00	29.00	31.00
20170313 000904	data/data.con.nuevas.variables.SI.NO.tsv	ranger	na.roughfix	umbral_estimado	50.00	2000.00	34.00	1902500.00	32.84625	1773333.00	2138333.00	1795833.00	31.00	36.00	35.00
20170313 002130	data/data.con.nuevas.variables.SI.NO.tsv	ranger	na.roughfix	umbral_fijo	50.00	700.00	0.03125	1890278.00	36.16403	1727500.00	2006667.00	1936667.00			
20170313 001612	data/data.con.nuevas.variables.SI.NO.tsv	ranger	na.roughfix	umbral_fijo	50.00	800.00	0.03125	1887222.00	35.95692	1782500.00	1929167.00	1950000.00			
20170313 001415	data/data.con.nuevas.variables.SI.NO.tsv	ranger	na.roughfix	umbral_estimado	50.00	1000.00	0.03833333	1882500.00	35.25558	1665000.00	1974167.00	2008333.00	49.00	37.00	29.00
20170312 232207	data/data.con.nuevas.variables.SI.NO.tsv	ranger	na.roughfix	umbral_estimado	20.00	2000.00	34.00	1873889.00	16.12198	1765833.00	2042500.00	1813333.00	35.00	34.00	33.00
20170313 001059	data/data.con.nuevas.variables.SI.NO.tsv	ranger	na.roughfix	umbral_fijo	50.00	1000.00	0.03125	1863889.00	35.09386	1761667.00	1931667.00	1898333.00			
20170312 231641	data/data.con.nuevas.variables.SI.NO.tsv	ranger	na.roughfix	umbral_estimado	20.00	5000.00	0.03	1847500.00	13.48238	1640833.00	2084167.00	1817500.00	28.00	28.00	34.00
20170313 001932	data/data.con.nuevas.variables.SI.NO.tsv	ranger	na.roughfix	umbral_estimado	50.00	800.00	0.03533333	1847500.00	35.89417	1702500.00	1917500.00	1922500.00	42.00	36.00	28.00
20170312 231733	data/data.con.nuevas.variables.SI.NO.tsv	ranger	na.roughfix	umbral_fijo	20.00	3000.00	0.03125	1837222.00	14.50775	1515833.00	2126667.00	1869167.00			
20170313 000600	data/data.con.nuevas.variables.SI.NO.tsv	ranger	na.roughfix	umbral_fijo	50.00	2000.00	0.03125	1831389.00	32.9456	1559167.00	2122500.00	1812500.00			
